  0.0, 6.7706985011 0.2773328998   4.0000000000   0.2000000000
  1.0, 6.0064955259 1.8415923977  -1.4132277664  -7.1515871544
  2.0, 6.0957150224 -2.2741345738  -2.3998376860   5.8845972660
  3.0, 6.8211549261 1.0947089110   3.6894821385   1.9352173248
  4.0, 6.0072667573 1.0027252742  -0.6702106469  -7.5338704153
  5.0, 6.2220258215 -2.1418236442  -3.1554811246   4.3423227706
  6.0, 6.2471493930 2.0959070299   3.3875843752   4.0601853154
  7.0, 5.6274921917 -1.2260086075   0.8359486119  -7.3369582797
  8.0, 6.5619702807 -1.1372640303  -3.4559158412   1.8254093319
  9.0, 5.6847724103 1.8501698174   2.1059659442   5.3170771182
 10.0, 5.6256952338 -1.6836271021   1.4118948532  -6.2083929631
 11.0, 6.4997164009 0.1011089084  -3.4162214001   0.0081973729
 12.0, 5.2738473913 1.6132468459   1.5405683936   6.3572388776
 13.0, 6.2443089278 -1.9650638504   2.0496878260  -5.7034352213
 14.0, 6.5449693882 0.9536382099  -3.7913257226  -1.7975081170
 15.0, 5.2632585541 0.6601949788   0.5628587259   7.3890874827
 16.0, 6.6949170404 -2.0257250337   3.0916269275  -4.1416807035
 17.0, 6.2287281005 1.9282639709  -3.0419444914  -3.7349611312
 18.0, 5.2445191276 -0.6608964497  -0.6075504598   6.8611739950
 19.0, 6.6604201610 -0.6935827108   3.5077618284  -1.5763507300
 20.0, 5.9371269504 2.3850502332  -2.2421616028  -5.8076160247
 21.0, 5.7361945936 -1.8432898302  -1.5954389607   6.6381276907
 22.0, 6.7296171402 -0.0401709029   3.6400742200   0.0852410173
 23.0, 5.3353809943 1.3971148484  -1.1617026993  -6.2516120238
 24.0, 6.3465797239 -1.7050770422  -2.0162076378   5.1542694011
 25.0, 5.9614809293 0.6782370413   3.1329725303   1.4582317271
 26.0, 5.4682705059 0.9665669287  -0.9052823224  -6.6440989715
 27.0, 5.5997133160 -1.9616044669  -2.6472290400   4.4071167221
 28.0, 6.3921969597 1.4254516229   3.1643711633   3.0560544324
 29.0, 5.1244939553 -0.3996761538   0.2841410900  -6.7548033570
 30.0, 6.2929415843 -1.0896561120  -3.4074561834   2.0141086565
 31.0, 5.9615315946 2.2638642225   2.3654454328   5.3993663442
 32.0, 5.5672120236 -1.8149051079   1.7898340997  -6.1385579174
 33.0, 6.7644052704 0.1389830146  -3.3162326673  -0.4185776177
 34.0, 5.4273782482 1.6145076827   1.4142122301   6.4933450951
 35.0, 5.6143456991 -2.0350744196   2.1330648987  -5.5702051143
 36.0, 5.9515278396 1.0626205218  -3.6028782569  -1.7958083770
 37.0, 5.6047565671 1.2990512866   0.9282683548   7.6146399392
 38.0, 6.2691772578 -2.3628062830   3.0005831339  -4.9534039041
 39.0, 6.4273560520 2.0475462659  -3.5632540323  -3.4757788491
 40.0, 5.4194163390 -0.4932254339  -0.3384976017   7.6169634336
 41.0, 6.1177769571 -1.4214780587   3.7672144543  -2.3444686449
 42.0, 6.1754663358 2.6386662689  -2.6627007643  -5.9127335209
 43.0, 5.7118419891 -2.0644377378  -1.7494898749   7.0854654585
 44.0, 6.8008386895 0.1269033131   3.9716070330   0.2614827008
 45.0, 5.8597145408 2.1752871772  -1.7017020237  -7.5470624073
 46.0, 5.9822172804 -2.8014419225  -2.7599960746   6.1880168161
 47.0, 6.6605607672 1.2526866166   3.8041787087   2.2415995000
 48.0, 5.5718858304 0.8026512453  -0.4567843947  -7.7134653910
 49.0, 6.1883133510 -2.0587709528  -3.3558089070   3.9905809256
 50.0, 6.4797288246 2.2342789075   3.3664372387   4.6420282996
 51.0, 5.5494328444 -0.8525509421   0.5351674733  -8.2779031197
 52.0, 7.1364103037 -1.3023627974  -4.3887095118   1.9547330120
 53.0, 5.8859839726 3.2697493482   2.6663977895   7.1053315935
 54.0, 5.5168859521 -2.7040764460   2.0317367530  -7.9203539238
 55.0, 7.2824140117 0.3166333785  -4.4872600258  -0.4512454661
 56.0, 6.0527863401 2.5143775213   1.6851673158   8.3777855030
 57.0, 6.0111978365 -3.0302493777   2.9463530930  -6.7581893533
 58.0, 7.0110527080 1.6226392581  -4.2451078614  -2.4769785999
 59.0, 5.2334514640 1.3798167748   0.8074616421   8.9654137393
 60.0, 6.3246273277 -3.1641332990   3.6149956492  -5.3600200293
 61.0, 6.7108493794 2.3902245474  -3.9032623929  -4.2948159177
 62.0, 5.4489822553 -0.2784593908  -0.2079770509   9.0402467815
 63.0, 6.7992240585 -2.1785501703   4.3745716172  -3.1554054577
 64.0, 6.2878329943 3.5611726819  -3.3824754805  -6.8060798680
 65.0, 5.6028230082 -3.0195553886  -1.9417240833   8.6562715350
 66.0, 6.9380747820 -0.1667245789   4.5761498571  -0.2861140776
 67.0, 5.9039621851 3.3988598337  -2.3040986159  -8.5493994030
 68.0, 5.9491864662 -3.6555970676  -2.9082016666   7.7736191867
 69.0, 7.0256654046 1.1620907793   4.7105898109   2.0103203134
 70.0, 5.1754543364 1.6487895166  -1.0365142749  -9.3906665063
 71.0, 6.1189803464 -3.2232084008  -3.6556538073   6.0272061986
 72.0, 7.4029209053 2.9790502831   4.6033196533   4.5788455498
 73.0, 5.3828091999 -0.0508271019   0.0492368125 -10.4271314787
 74.0, 7.4472030030 -2.7650774451  -4.9887899963   3.9573718531
 75.0, 6.9484754580 3.9314165325   3.6503600022   7.1368969909
 76.0, 5.7676551647 -2.9875056217   1.9016542441  -9.3825591002
 77.0, 7.8666988932 -0.3272445920  -5.1130165013   0.3744225225
 78.0, 5.2062114620 2.8933498825   1.9550774703   8.7023193734
 79.0, 5.8135255893 -3.5205791154   3.1152160273  -7.2124865716
 80.0, 7.1412808060 1.7029659439  -4.6808520684  -2.7991089435
 81.0, 5.3571722493 1.4683995336   0.8244571427   9.8689457292
 82.0, 6.7125218473 -3.5853159690   3.9596315834  -5.8428010131
 83.0, 7.1710837193 2.6776179924  -4.1105748159  -4.5208388630
 84.0, 5.5269522742 -0.4713014661  -0.3534289968   9.3457100377
 85.0, 6.6734875273 -2.1829227410   4.2029326615  -3.4944976851
 86.0, 6.6860248922 3.3392611830  -3.2823176223  -6.1179501862
 87.0, 5.8013437868 -2.2637540011  -1.6405148859   8.2263290139
 88.0, 7.1259826832 -0.2218532161   4.4949341604  -0.3472759578
 89.0, 6.0062874530 2.8845224423  -2.1541862793  -8.1914263158
 90.0, 6.2563024373 -3.5117755769  -2.9328326917   7.1915000920
 91.0, 7.0657096344 1.6009423312   4.5184618132   2.3773422696
 92.0, 5.2219485978 1.3688497243  -0.8148021050  -9.2262410310
 93.0, 6.2410482585 -3.0607093629  -3.6029297369   5.6457687015
 94.0, 7.0666419304 2.5817197316   4.1311374420   4.2862061519
 95.0, 5.4995880156 -0.1812766986   0.0820485172  -9.4859863516
 96.0, 6.9883850071 -2.4529112279  -4.3245757085   3.8270645986
 97.0, 6.3186238672 3.4313804282   3.5468139411   6.2812577437
 98.0, 5.4750674961 -2.0888917134   1.3332739324  -9.1238531331
 99.0, 7.3664164626 -0.8848510201  -4.6323060294   1.4629434466
100.0, 5.3467398650 2.5859032753   2.1373060280   7.2304923829
